지역,건물용도,건물용도구분,연면적,창면적비,난방방식,냉방방식,태양광용량,태양광_후면,태양광_밀착,지열여부,열병합여부,태양광비율,에너지자립률,1차에너지소요량,최종등급,비율구간,보간_자립률,보간_1차에너지,잔차_자립률,잔차_1차에너지
8,3,1,8215.34,38.5,0,0,105.6,943.2664285714285,1010.6426020408162,0,0,0.11481769818065089,22.39,149.0,5,10~15%,29.506091861601064,105.64739847303076,-7.116091861601063,43.35260152696924
0,6,1,2229.66,7.0,0,0,64.9,541.0626000000001,579.7099285714286,0,0,0.24266596700842286,22.45,154.1,5,20~25%,49.77987406151611,84.37751244584375,-27.32987406151611,69.72248755415625
2,28,1,959.03,24.0,0,0,18.415,81.064,86.85428571428571,0,0,0.0845270742312545,22.49,117.8,5,5~10%,23.872035807013336,113.52296069987383,-1.382035807013338,4.277039300126162
1,0,0,60667.4164,17.42,3,0,337.25,2815.778275,3016.905294642857,0,0,0.04641335402244029,22.51,85.7,5,2~5%,14.667472045834476,126.648525626641,7.842527954165526,-40.948525626641
1,0,0,69505.0703,16.07,3,0,395.47,3301.8708500000002,3537.718767857143,0,0,0.04750546738170841,22.54,87.3,5,2~5%,14.951421519244187,126.24171340031361,7.588578480755812,-38.94171340031362
9,0,0,9538.83,15.68,1,0,108.16,900.7161583333333,965.0530267857142,0,0,0.09442627222975285,22.58,112.1,5,5~10%,25.71328663473403,110.94916922026425,-3.1332866347340307,1.1508307797357418
0,6,1,2229.66,7.6,0,0,64.9,541.0626000000001,579.7099285714286,0,0,0.24266596700842286,22.63,152.4,5,20~25%,49.77987406151611,84.37751244584375,-27.149874061516112,68.02248755415626
2,0,0,42162.67,17.22,2,0,478.8,3996.150833333333,4281.590178571429,0,0,0.09477935892896093,22.64,85.9,5,5~10%,25.778960760786735,110.85736667847016,-3.138960760786734,-24.95736667847015
2,17,1,17544.59,61.68,0,0,300.905,2352.916875,2520.9823660714283,0,0,0.13411067884743957,22.65,104.6,5,10~15%,33.131028981013515,101.30541373437624,-10.481028981013516,3.2945862656237495
0,7,1,826.51,19.12,0,0,15.24,126.90813333333334,135.97299999999998,0,0,0.1535470028594129,22.66,175.9,5,15~20%,36.82393054328845,97.6902574681492,-14.163930543288448,78.20974253185081
9,28,1,2869.71,27.71,0,0,46.08,411.14700892857144,440.5146524234694,0,0,0.1432712744244441,22.67,127.9,5,10~15%,34.87154214064438,99.6015429570534,-12.201542140644378,28.29845704294661
11,28,1,612.58,14.42,0,0,12.2,54.024,57.88285714285714,0,0,0.08819093016422344,22.7,115.4,5,5~10%,24.55351301054556,112.57035815730191,-1.8535130105455622,2.829641842698095
8,28,1,4071.58,16.1,0,0,31.5,139.642,149.61642857142857,1,0,0.034296759488945325,22.71,131.0,5,2~5%,11.517157467125783,130.61870379557814,11.192842532874218,0.38129620442185796
11,6,1,1396.8,13.87,0,0,40.32,175.949,188.51678571428573,0,0,0.12596577892325317,22.72,114.6,5,10~15%,31.5834979954181,102.82036512027491,-8.8634979954181,11.77963487972508
9,0,0,6184.02,16.54,1,0,83.2,692.8585833333333,742.348482142857,0,0,0.11204015888262542,22.77,131.6,5,10~15%,28.989469552168327,106.3695586905174,-6.219469552168327,25.2304413094826
0,6,1,2056.49,6.32,0,0,64.9,541.0626000000001,579.7099285714286,0,0,0.26310003938750015,22.77,146.4,5,25~30%,53.458007089750026,79.14638991679996,-30.688007089750027,67.25361008320004
0,6,1,10658.65,15.58,0,0,250.2,1163.671,1246.7903571428571,0,0,0.10917620899457249,22.9,105.8,5,10~15%,28.456774872990483,107.11418566141116,-5.556774872990484,-1.314185661411159
11,0,0,28131.39,21.52,1,0,232.0,1936.0864666666664,2074.3783571428567,0,0,0.06882299334183865,22.91,84.8,5,5~10%,20.493978268878053,118.3009349801651,2.4160217311219476,-33.5009349801651
13,1,1,1499.09,22.06,0,0,34.16,151.267,162.0717857142857,0,0,0.10090588290229406,22.94,160.8,5,10~15%,26.918494219826695,109.26447044540355,-3.9784942198266933,51.535529554596465
16,1,1,7893.26,26.9,0,0,88.8,413.706,443.25642857142856,0,0,0.05241256464375936,23.01,88.5,4,5~10%,16.227266807377433,124.41381967019964,6.782733192622569,-35.91381967019964
5,28,1,4702.81,24.16,0,0,43.815,36485.71000000001,39091.83214285714,0,0,7.758278561115589,23.03,119.1,5,,150.0,-50.0,-126.97,169.1
8,0,0,1319.56,24.28,2,0,19.2,83.859,89.84892857142856,0,0,0.06355072903088908,23.08,91.2,5,5~10%,19.123189548031164,120.26485343599381,3.9568104519688347,-29.06485343599381
1,6,1,990.0,5.57,0,0,33.0,294.76727678571433,315.8220822704082,0,0,0.2977447240259741,23.1,135.7,5,25~30%,57.29827272727273,74.88694805194804,-34.19827272727273,60.81305194805195
8,17,1,4727.55,21.79,0,0,78.0,696.1144285714286,745.836887755102,0,0,0.1472463387106278,23.12,126.2,5,10~15%,35.62680435501928,98.86218099982322,-12.50680435501928,27.33781900017678
15,0,0,16591.56,18.22,2,0,181.44,1509.46875,1617.2879464285713,0,0,0.09097810874926769,23.14,82.8,5,5~10%,25.07192822736379,111.8456917251904,-1.931928227363791,-29.04569172519041
