태양광비율,에너지자립률,최종등급
0.008434517579976836,2.8317341446290665,5
0.008352244253621237,2.8347338935574227,인증불가
0.01159953123065521,2.8347809487448696,인증불가
0.006318872157404523,2.8365136668385764,인증불가
0.010716236363197112,2.8365136668385764,인증불가
0.006276999382871248,2.837202245486269,인증불가
0.014095731090719365,2.8442146089204914,인증불가
0.012158947352881009,2.8482651475919214,인증불가
0.014990058202678997,2.848595004101591,인증불가
0.012299319819245154,2.850233200898255,인증불가
0.007219977841125533,2.851044366519286,인증불가
0.007348843270427919,2.8527841342486653,인증불가
0.009420004284217883,2.8531006838009905,5
0.005896824730403985,2.8552887735236863,인증불가
0.009177533711644096,2.858792954086053,인증불가
0.007181430194850934,2.8650222154129,인증불가
0.01029023907279915,2.867022786508735,인증불가
0.007561657245380464,2.873642238416059,인증불가
0.007343020393171819,2.875595878825157,인증불가
0.008572679994303514,2.8768066070199585,인증불가
0.00496885382461118,2.880266603189717,인증불가
0.005732348928791353,2.8820960698689957,인증불가
0.00969671005590161,2.8828154249344817,인증불가
0.019275662909748272,2.8837751237984275,인증불가
0.005514960796310774,2.8900196215371317,인증불가
0.01298977950950799,2.8900196215371317,인증불가
0.015758212576845804,2.891251149120194,인증불가
0.006864808825582034,2.8957581349906367,인증불가
0.005898126627015362,2.8958254983076346,인증불가
0.005061916424314918,2.899592619218788,인증불가
0.005054866415691188,2.9009167399221396,인증불가
0.012253188591150495,2.9054410987849972,인증불가
0.014276274753959274,2.907488986784141,인증불가
0.007499906888582351,2.9077903902969986,인증불가
0.005933604257956181,2.9111531190926274,인증불가
0.010330089710491552,2.9142041980843696,5
0.005833796633126471,2.917559859026996,인증불가
0.006258983454145732,2.9177718832891246,인증불가
0.006974676946115293,2.9234858022100996,인증불가
0.005996310974925905,2.927478376580173,인증불가
0.005883763256767588,2.929427430093209,인증불가
0.0052964541940449545,2.9301548602645715,인증불가
0.0051767635511843595,2.931248889678451,인증불가
0.006689706322272488,2.931493964571249,인증불가
0.010975680294430877,2.9320823115470733,인증불가
0.010992291321021088,2.934756245452341,인증불가
0.006535158357201563,2.935420743639922,인증불가
0.0052521371588647526,2.939604489577766,인증불가
0.008659698245780365,2.9401510749564204,인증불가
0.006033487164384385,2.94080203691916,인증불가
0.010645704170239885,2.944204241301215,인증불가
0.013442009778727367,2.9459025174076054,5
0.009074569931643841,2.945902517407606,인증불가
0.009986758716649231,2.950278522797607,5
0.014037769520284054,2.952227589908749,인증불가
0.006049475571135366,2.9568373653842865,인증불가
0.006583680258333576,2.9585798816568047,인증불가
0.015788205054722653,2.960172228202368,인증불가
0.010451285757641107,2.9607315377622503,5
0.006654980188688341,2.963304160908951,인증불가
0.006623078665568594,2.9713243054685963,인증불가
0.0058888448153014295,2.978181239050804,인증불가
0.0049360347934835,2.9805402742425486,인증불가
0.011382332573726133,2.981029810298103,인증불가
0.015069572510769456,2.981029810298103,인증불가
0.007359432978928095,2.9821073558648115,인증불가
0.011637174115560707,2.9842647856755287,인증불가
0.006821253033564112,2.985789557719942,인증불가
0.013907405494817152,2.992383025027203,인증불가
0.006736008419509774,2.9936498336861206,인증불가
0.018465546584959035,2.993708474277467,인증불가
0.006410784403839939,2.994698380856856,인증불가
